,Unnamed: 0,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
1236,1264,"noviembre 7, 2023",https://lopezobrador.org.mx/2023/11/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1077/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-07,11,2023,,
1238,1266,"noviembre 9, 2023",https://lopezobrador.org.mx/2023/11/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1079/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-09,11,2023,,
1250,1278,"noviembre 30, 2023",https://lopezobrador.org.mx/2023/11/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1086/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-30,11,2023,,
1251,1279,"diciembre 1, 2023",https://lopezobrador.org.mx/2023/12/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1087/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-01,12,2023,,
1253,1281,"diciembre 5, 2023",https://lopezobrador.org.mx/2023/12/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1089/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-05,12,2023,,
1255,1283,"diciembre 7, 2023",https://lopezobrador.org.mx/2023/12/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1091/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-07,12,2023,,
1258,1286,"diciembre 13, 2023",https://lopezobrador.org.mx/2023/12/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1094/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-13,12,2023,,
1260,1288,"diciembre 15, 2023",https://lopezobrador.org.mx/2023/12/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-e-inauguracion-del-tren-maya-tramo-campeche-cancun/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador e inauguración del Tren Maya, tramo Campeche-Cancún",2023-12-15,12,2023,,
1262,1290,"diciembre 19, 2023",https://lopezobrador.org.mx/2023/12/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1097/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-19,12,2023,,
1267,1295,"diciembre 27, 2023",https://lopezobrador.org.mx/2023/12/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1100/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-27,12,2023,,
1268,1296,"diciembre 28, 2023",https://lopezobrador.org.mx/2023/12/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1101/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-28,12,2023,,
1269,1297,"diciembre 29, 2023",https://lopezobrador.org.mx/2023/12/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1102/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-12-29,12,2023,,
1284,1313,"enero 23, 2024",https://lopezobrador.org.mx/2024/01/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1114/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-01-23,1,2024,,
1309,1338,"febrero 29, 2024",https://lopezobrador.org.mx/2024/02/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-quintana-roo-5/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Quintana Roo",2024-02-29,2,2024,,
1312,1341,"marzo 5, 2024",https://lopezobrador.org.mx/2024/03/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1140/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-05,3,2024,,
1314,1343,"marzo 7, 2024",https://lopezobrador.org.mx/2024/03/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-tamaulipas-2/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Tamaulipas",2024-03-07,3,2024,,
1315,1344,"marzo 8, 2024",https://lopezobrador.org.mx/2024/03/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-michoacan-2/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Michoacán",2024-03-08,3,2024,,
1320,1349,"marzo 15, 2024",https://lopezobrador.org.mx/2024/03/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-baja-california-sur-4/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Baja California Sur",2024-03-15,3,2024,,
1325,1354,"marzo 22, 2024",https://lopezobrador.org.mx/2024/03/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-veracruz-7/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Veracruz",2024-03-22,3,2024,,
1326,1355,"marzo 25, 2024",https://lopezobrador.org.mx/2024/03/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1148/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-25,3,2024,,
1332,1361,"abril 4, 2024",https://lopezobrador.org.mx/2024/04/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1154/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-04,4,2024,,
1334,1363,"abril 8, 2024",https://lopezobrador.org.mx/2024/04/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-sinaloa-4/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Sinaloa",2024-04-08,4,2024,,
1348,1377,"abril 26, 2024",https://lopezobrador.org.mx/2024/04/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1169/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-26,4,2024,,
1357,1386,"mayo 9, 2024",https://lopezobrador.org.mx/2024/05/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1178/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-09,5,2024,,
1373,1402,"junio 4, 2024",https://lopezobrador.org.mx/2024/06/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1194/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-06-04,6,2024,,
1375,1404,"junio 6, 2024",https://lopezobrador.org.mx/2024/06/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1196/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-06-06,6,2024,,
1377,1406,"junio 10, 2024",https://lopezobrador.org.mx/2024/06/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1198/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-06-10,6,2024,,
1386,1415,"junio 21, 2024",https://lopezobrador.org.mx/2024/06/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1207/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-06-21,6,2024,,
1388,1417,"junio 25, 2024",https://lopezobrador.org.mx/2024/06/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1209/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-06-25,6,2024,,
1402,1431,"julio 15, 2024",https://lopezobrador.org.mx/2024/07/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1223/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-15,7,2024,,
1407,1436,"julio 22, 2024",https://lopezobrador.org.mx/2024/07/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1228/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-22,7,2024,,
1408,1437,"julio 23, 2024",https://lopezobrador.org.mx/2024/07/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1229/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-23,7,2024,,
1411,1440,"julio 26, 2024",https://lopezobrador.org.mx/2024/07/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1232/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-26,7,2024,,
1413,1442,"julio 30, 2024",https://lopezobrador.org.mx/2024/07/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1234/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-30,7,2024,,
1414,1443,"julio 31, 2024",https://lopezobrador.org.mx/2024/07/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1235/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-07-31,7,2024,,
1415,1444,"agosto 1, 2024",https://lopezobrador.org.mx/2024/08/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1236/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-01,8,2024,,
1416,1445,"agosto 5, 2024",https://lopezobrador.org.mx/2024/08/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1237/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-05,8,2024,,
1419,1448,"agosto 8, 2024",https://lopezobrador.org.mx/2024/08/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1240/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-08,8,2024,,
46,46,"agosto 12, 2024",https://lopezobrador.org.mx/2024/08/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1242/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-12,8,2024,,
40,40,"agosto 20, 2024",https://lopezobrador.org.mx/2024/08/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1248/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-20,8,2024,,
39,39,"agosto 21, 2024",https://lopezobrador.org.mx/2024/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1249/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-21,8,2024,,
38,38,"agosto 22, 2024",https://lopezobrador.org.mx/2024/08/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1250/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-22,8,2024,,
37,37,"agosto 23, 2024",https://lopezobrador.org.mx/2024/08/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1251/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-23,8,2024,,
36,36,"agosto 26, 2024",https://lopezobrador.org.mx/2024/08/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1252/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-26,8,2024,,
35,35,"agosto 27, 2024",https://lopezobrador.org.mx/2024/08/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1253/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-27,8,2024,,
34,34,"agosto 28, 2024",https://lopezobrador.org.mx/2024/08/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1254/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-28,8,2024,,
33,33,"agosto 29, 2024",https://lopezobrador.org.mx/2024/08/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1255/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-08-29,8,2024,,
62,62,"septiembre 2, 2024",https://lopezobrador.org.mx/2024/09/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1256/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-02,9,2024,,
61,61,"septiembre 3, 2024",https://lopezobrador.org.mx/2024/09/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1257/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-03,9,2024,,
60,60,"septiembre 4, 2024",https://lopezobrador.org.mx/2024/09/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1258/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-04,9,2024,,
59,59,"septiembre 5, 2024",https://lopezobrador.org.mx/2024/09/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1259/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-05,9,2024,,
58,58,"septiembre 6, 2024",https://lopezobrador.org.mx/2024/09/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1260/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-06,9,2024,,
57,57,"septiembre 9, 2024",https://lopezobrador.org.mx/2024/09/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1261/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-09,9,2024,,
56,56,"septiembre 10, 2024",https://lopezobrador.org.mx/2024/09/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1262/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-10,9,2024,,
55,55,"septiembre 11, 2024",https://lopezobrador.org.mx/2024/09/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1263/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-11,9,2024,,
54,54,"septiembre 12, 2024",https://lopezobrador.org.mx/2024/09/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1264/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-12,9,2024,,
53,53,"septiembre 13, 2024",https://lopezobrador.org.mx/2024/09/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1265/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-13,9,2024,,
52,52,"septiembre 17, 2024",https://lopezobrador.org.mx/2024/09/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1266/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-17,9,2024,,
51,51,"septiembre 18, 2024",https://lopezobrador.org.mx/2024/09/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1267/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-18,9,2024,,
50,50,"septiembre 19, 2024",https://lopezobrador.org.mx/2024/09/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1268/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-19,9,2024,,
49,49,"septiembre 20, 2024",https://lopezobrador.org.mx/2024/09/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1269/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-20,9,2024,,
48,48,"septiembre 23, 2024",https://lopezobrador.org.mx/2024/09/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1270/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-09-23,9,2024,,
