question_tag,n_b,n_p,n_bi,n_pi,n_q
b,8,0,24,0,3
b,13,0,27,0,9
b,10,0,11,0,7
plain,32,1,0,0,14
b,14,0,13,0,13
plain,7,1,51,0,7
b,3,0,18,0,3
b,4,0,14,0,4
b,4,0,2,0,4
b,8,0,31,0,3
b,12,0,23,0,11
b,11,0,35,0,3
b,5,0,18,0,4
b,7,0,38,0,5
b,9,0,17,0,4
b,12,0,18,0,9
b,14,0,12,0,6
b,6,0,21,0,3
b,7,0,22,0,4
b,11,0,11,0,5
b,13,0,12,0,5
b,5,0,16,0,5
b,14,0,11,0,2
b,5,0,14,0,4
b,11,0,5,0,6
b,6,0,22,0,6
plain,0,7,0,28,4
b,4,0,26,0,4
b,19,0,17,0,14
b,8,0,25,0,5
b,4,0,25,0,4
b,21,0,30,0,4
b,3,0,27,0,3
b,17,0,24,0,8
b,16,0,32,0,10
b,4,0,8,0,4
b,23,0,23,0,5
b,11,0,32,0,6
b,9,0,16,0,6
b,2,0,11,0,2
plain,15,0,19,1,1
b,4,0,18,0,4
b,4,0,21,0,4
b,20,0,22,0,7
b,7,0,22,0,4
b,7,0,46,0,5
plain,5,0,29,2,5
b,5,0,32,0,3
b,13,0,0,0,10
b,3,0,10,0,3
b,7,0,58,0,6
b,5,0,24,0,4
b,6,0,34,0,5
b,8,0,19,0,5
b,5,0,17,0,4
b,7,0,31,0,3
b,5,0,18,0,3
b,5,0,8,0,5
plain,0,9,0,14,3
b,16,0,15,0,4
b,12,0,20,0,10
b,11,0,22,0,4
b,14,0,35,0,7
b,47,0,0,0,15
b,4,0,20,0,3
b,5,0,15,0,2
plain,16,0,29,1,4
b,8,0,1,0,1
b,2,0,23,0,1
b,8,0,12,0,4
b,4,0,25,0,4
b,9,0,18,0,6
b,4,0,27,0,4
b,6,0,9,0,3
b,13,0,25,0,2
b,4,0,7,0,3
plain,7,0,33,2,4
b,3,0,20,0,3
b,8,0,20,0,5
b,7,0,28,0,3
b,5,0,12,0,5
b,4,0,22,0,2
b,2,0,10,0,2
b,5,0,10,0,4
b,4,0,32,0,4
plain,0,6,0,16,2
b,7,0,4,0,6
b,3,0,5,0,3
b,7,0,4,0,4
b,3,0,47,0,3
b,16,0,31,0,8
b,4,0,35,0,3
b,18,0,36,0,3
b,13,0,11,0,6
b,9,0,11,0,4
b,7,0,13,0,6
b,26,0,11,0,21
b,20,0,14,0,9
b,3,0,14,0,3
b,2,0,10,0,2
b,8,0,9,0,3
b,3,0,11,0,3
b,2,0,4,0,2
b,11,0,11,0,8
b,25,0,0,0,11
b,18,0,21,0,8
b,17,0,19,0,8
b,11,0,21,0,8
plain,0,4,0,15,2
b,13,0,14,0,10
b,12,0,27,0,5
b,8,0,4,0,4
b,5,0,6,0,3
b,6,0,32,0,5
plain,0,12,0,0,9
b,15,0,44,0,5
b,7,0,34,0,4
b,17,0,18,0,7
b,5,0,24,0,4
b,7,0,23,0,4
plain,0,4,0,6,3
b,5,0,17,0,4
b,8,0,15,0,7
b,33,0,30,0,17
b,3,0,6,0,3
b,10,0,39,0,6
b,8,0,41,0,3
b,3,0,13,0,2
b,7,0,26,0,4
b,12,0,23,0,4
b,5,0,16,0,4
b,7,0,22,0,5
b,9,0,14,0,3
b,10,0,8,0,7
b,8,0,41,0,5
b,8,0,31,0,4
plain,5,4,6,0,4
b,5,0,14,0,3
b,5,0,13,0,2
b,15,0,17,0,5
b,9,0,28,0,8
b,14,0,20,0,2
b,13,0,0,0,8
b,3,0,28,0,3
b,18,0,28,0,6
b,21,0,19,0,5
b,3,0,4,0,3
b,5,0,22,0,4
b,3,0,3,0,3
b,12,0,10,0,4
b,3,0,10,0,3
b,6,0,6,0,3
b,5,0,20,0,4
b,5,0,24,0,4
b,7,0,14,0,7
b,38,0,13,0,7
b,29,0,30,0,7
b,8,0,38,0,6
b,7,0,22,0,6
b,8,0,22,0,5
nothing,0,0,0,0,0
b,5,0,29,0,3
b,5,0,28,0,3
b,9,0,24,0,7
b,18,0,8,0,3
b,6,0,14,0,4
b,4,0,30,0,4
b,5,0,30,0,4
plain,4,0,29,1,4
b,10,0,17,0,5
plain,0,13,0,35,6
b,12,0,34,0,6
b,6,0,12,0,6
b,4,0,33,0,3
b,18,0,22,0,14
b,14,0,39,0,4
b,12,0,15,0,6
b,21,0,28,0,15
b,6,0,25,0,4
b,10,0,14,0,7
b,4,0,15,0,4
b,2,0,22,0,1
b,3,0,12,0,3
b,11,0,17,0,5
b,7,0,21,0,7
b,7,0,10,0,6
b,3,0,10,0,3
b,8,0,24,0,4
b,5,0,14,0,4
b,17,0,58,0,6
b,18,0,12,0,7
b,2,0,9,0,2
b,5,0,13,0,4
b,9,0,20,0,4
b,17,0,18,0,12
b,4,0,13,0,3
plain,13,1,12,0,8
b,14,0,16,0,4
b,7,0,9,0,5
b,13,0,30,0,8
b,5,0,29,0,2
b,8,0,32,0,7
b,2,0,13,0,2
b,3,0,20,0,3
b,16,0,19,0,7
b,9,0,13,0,8
b,4,0,42,0,3
b,6,0,13,0,4
b,8,0,25,0,6
b,6,0,17,0,3
b,11,0,15,0,8
b,6,0,23,0,5
b,6,0,22,0,3
b,4,0,21,0,4
b,6,0,69,0,5
b,4,0,2,0,4
plain,1,11,0,3,4
plain,0,11,0,56,8
b,8,0,25,0,8
b,18,0,23,0,5
b,1,0,0,0,1
b,18,0,10,0,10
plain,5,2,12,0,5
b,6,0,24,0,4
b,7,0,38,0,4
b,3,0,14,0,2
b,10,0,21,0,10
b,26,0,32,0,7
b,5,0,23,0,4
b,10,0,26,0,5
b,12,0,32,0,10
b,15,0,11,0,7
b,4,0,27,0,4
b,2,0,4,0,2
b,3,0,12,0,1
b,13,0,14,0,4
b,5,0,18,0,4
b,4,0,15,0,4
b,9,0,22,0,7
b,5,0,12,0,5
b,13,0,19,0,6
plain,0,13,0,45,5
b,2,0,15,0,2
plain,4,1,16,0,5
b,10,0,0,0,6
b,19,0,11,0,1
plain,0,9,0,24,5
b,18,0,13,0,9
b,10,0,16,0,6
b,3,0,1,0,1
b,6,0,17,0,3
plain,5,1,4,0,2
b,3,0,14,0,3
b,7,0,32,0,6
b,10,0,21,0,10
b,14,0,17,0,2
b,5,0,22,0,5
b,5,0,23,0,4
plain,1,15,0,21,4
b,19,0,31,0,6
b,18,0,22,0,8
b,9,0,15,0,7
b,4,0,29,0,4
b,13,0,12,0,7
b,6,0,29,0,4
b,18,0,52,0,3
b,16,0,17,0,8
b,7,0,19,0,4
b,13,0,56,0,3
b,5,0,24,0,4
plain,0,3,0,25,3
b,16,0,14,0,15
b,16,0,22,0,7
b,2,0,23,0,2
b,7,0,29,0,3
plain,9,0,15,1,4
b,3,0,13,0,3
b,4,0,31,0,4
b,24,0,0,0,10
b,10,0,13,0,9
b,11,0,20,0,8
b,7,0,7,0,4
b,3,0,0,0,1
plain,1,5,0,21,5
b,1,0,0,0,1
b,9,0,8,0,8
b,6,0,14,0,4
b,11,0,37,0,8
b,8,0,18,0,6
b,10,0,29,0,4
b,7,0,10,0,7
plain,0,3,0,17,3
b,14,0,22,0,4
b,6,0,15,0,6
b,6,0,37,0,5
b,5,0,11,0,2
b,5,0,21,0,3
b,3,0,8,0,3
b,13,0,33,0,8
b,4,0,7,0,4
b,14,0,21,0,3
b,5,0,7,0,5
b,4,0,19,0,2
b,5,0,27,0,4
b,13,0,26,0,7
b,13,0,17,0,11
nothing,0,0,0,0,0
b,12,0,15,0,9
b,3,0,2,0,2
b,2,0,5,0,2
b,5,0,10,0,3
plain,0,23,0,20,4
b,7,0,9,0,7
plain,12,1,18,0,4
b,7,0,14,0,5
b,3,0,16,0,2
b,2,0,10,0,2
b,17,0,17,0,4
b,6,0,30,0,4
b,4,0,27,0,3
b,8,0,19,0,3
b,3,0,24,0,3
b,5,0,26,0,5
b,13,0,13,0,8
b,36,0,3,0,14
b,10,0,14,0,4
plain,27,1,0,0,12
b,3,0,25,0,3
plain,5,1,17,13,2
b,5,0,17,0,5
b,12,0,5,0,5
b,5,0,13,0,3
b,3,0,24,0,3
b,10,0,17,0,7
b,8,0,16,0,7
b,4,0,17,0,4
b,16,0,9,0,3
plain,1,0,2,4,1
b,6,0,13,0,3
b,2,0,4,0,2
b,4,0,18,0,4
b,14,0,34,0,4
b,6,0,35,0,4
b,24,0,20,0,20
b,5,0,22,0,5
b,17,0,19,0,4
b,24,0,22,0,4
b,16,0,43,0,12
plain,7,1,3,0,4
b,7,0,48,0,5
b,1,0,12,0,1
b,4,0,17,0,4
b,6,0,32,0,6
b,8,0,27,0,4
b,3,0,4,0,3
b,2,0,5,0,2
b,13,0,44,0,8
b,25,0,24,0,23
b,13,0,16,0,3
b,3,0,16,0,2
b,4,0,17,0,4
b,3,0,17,0,3
b,10,0,25,0,8
b,10,0,26,0,5
b,8,0,24,0,3
b,16,0,11,0,6
plain,0,12,0,17,5
b,4,0,15,0,3
b,4,0,22,0,4
b,2,0,9,0,2
b,17,0,11,0,12
b,16,0,30,0,5
b,4,0,8,0,3
plain,0,16,0,72,5
b,5,0,31,0,5
b,15,0,49,0,9
b,8,0,16,0,4
b,8,0,3,0,3
plain,0,15,0,17,3
b,33,0,15,0,28
b,5,0,18,0,5
b,4,0,3,0,3
b,7,0,26,0,4
b,9,0,17,0,6
plain,5,5,7,0,5
b,9,0,42,0,4
b,7,0,13,0,4
b,8,0,28,0,7
plain,0,11,0,0,8
b,13,0,16,0,5
b,4,0,28,0,4
b,3,0,6,0,3
b,5,0,25,0,5
b,15,0,15,0,11
b,13,0,9,0,7
b,5,0,27,0,3
b,6,0,12,0,4
b,6,0,9,0,4
b,5,0,17,0,4
b,7,0,10,0,5
b,7,0,15,0,6
b,7,0,41,0,7
b,4,0,17,0,2
plain,10,0,30,3,6
b,11,0,18,0,6
b,5,0,8,0,5
b,7,0,22,0,4
b,13,0,24,0,2
b,27,0,24,0,13
b,5,0,19,0,5
b,8,0,11,0,6
b,13,0,28,0,4
b,11,0,24,0,3
b,22,0,0,0,11
b,3,0,15,0,3
b,8,0,5,0,7
plain,0,9,0,11,5
plain,0,6,0,37,2
b,6,0,11,0,4
b,12,0,22,0,3
b,4,0,20,0,4
b,14,0,20,0,4
b,6,0,12,0,6
b,11,0,14,0,4
b,9,0,22,0,4
b,8,0,18,0,7
plain,1,9,4,15,4
plain,0,6,0,32,4
b,11,0,17,0,5
b,4,0,17,0,4
b,8,0,50,0,6
b,16,0,11,0,2
b,5,0,31,0,2
b,8,0,10,0,5
b,13,0,28,0,7
b,16,0,38,0,8
b,4,0,20,0,4
b,7,0,2,0,6
b,21,0,10,0,11
b,6,0,11,0,3
b,9,0,13,0,4
b,9,0,13,0,5
b,10,0,37,0,7
b,11,0,48,0,7
b,6,0,27,0,2
b,3,0,12,0,3
plain,0,5,0,24,3
b,6,0,19,0,4
b,14,0,15,0,3
b,12,0,18,0,8
b,7,0,8,0,1
b,16,0,24,0,4
b,1,0,10,0,1
b,4,0,17,0,4
b,5,0,17,0,4
b,8,0,23,0,5
b,10,0,24,0,2
b,10,0,10,0,2
nothing,0,0,0,0,0
b,7,0,43,0,6
b,7,0,3,0,5
b,19,0,14,0,9
b,4,0,6,0,4
b,22,0,9,0,16
b,14,0,18,0,10
b,2,0,3,0,2
b,7,0,10,0,4
b,32,0,40,0,5
b,8,0,49,0,5
b,30,0,51,0,10
b,7,0,34,0,3
b,3,0,9,0,2
b,5,0,20,0,5
b,5,0,34,0,2
plain,0,3,0,4,1
b,7,0,6,0,3
b,12,0,26,0,6
b,6,0,17,0,4
b,10,0,26,0,4
b,6,0,27,0,5
b,3,0,16,0,3
b,4,0,14,0,4
b,3,0,7,0,3
b,5,0,12,0,5
b,5,0,15,0,4
plain,6,0,7,1,1
b,5,0,21,0,5
b,4,0,17,0,4
b,4,0,12,0,4
b,1,0,2,0,1
b,4,0,12,0,3
plain,0,7,0,22,1
b,4,0,49,0,4
b,5,0,23,0,4
b,8,0,12,0,6
b,8,0,30,0,4
plain,0,12,0,15,6
b,19,0,27,0,10
b,36,0,0,0,14
b,32,0,39,0,17
b,6,0,24,0,3
b,10,0,16,0,4
b,21,0,10,0,13
b,12,0,25,0,9
b,4,0,14,0,3
b,9,0,17,0,7
b,8,0,15,0,7
b,11,0,22,0,9
b,11,0,24,0,5
b,17,0,33,0,5
b,8,0,10,0,5
b,23,0,34,0,13
b,12,0,11,0,9
b,9,0,9,0,4
b,18,0,0,0,14
b,7,0,18,0,6
b,6,0,18,0,4
b,13,0,27,0,7
b,5,0,12,0,5
b,6,0,32,0,4
b,9,0,15,0,6
b,6,0,22,0,6
b,11,0,12,0,4
b,4,0,16,0,3
plain,0,11,0,11,3
b,5,0,14,0,4
b,29,0,34,0,23
b,14,0,10,0,12
b,9,0,13,0,8
b,3,0,7,0,3
plain,3,1,12,3,4
b,7,0,12,0,5
b,2,0,6,0,2
b,2,0,13,0,2
b,5,0,19,0,3
b,6,0,23,0,4
b,4,0,28,0,3
b,2,0,15,0,2
b,24,0,15,0,18
b,14,0,13,0,5
b,8,0,21,0,4
b,7,0,8,0,7
b,14,0,31,0,6
plain,9,1,23,0,3
b,13,0,29,0,4
b,9,0,20,0,3
b,18,0,13,0,11
b,7,0,12,0,5
b,4,0,10,0,4
b,4,0,8,0,3
b,17,0,10,0,12
b,5,0,11,0,4
nothing,0,0,0,0,0
b,7,0,18,0,3
b,13,0,18,0,7
b,6,0,19,0,6
b,3,0,19,0,3
b,4,0,8,0,2
b,8,0,38,0,4
plain,0,7,0,11,4
b,5,0,20,0,4
b,4,0,21,0,4
b,23,0,31,0,16
b,9,0,21,0,8
b,11,0,24,0,6
b,6,0,36,0,5
b,6,0,64,0,5
b,7,0,23,0,4
b,5,0,34,0,2
b,14,0,28,0,4
b,8,0,12,0,5
b,9,0,15,0,3
plain,3,3,3,22,5
b,5,0,9,0,5
b,6,0,31,0,5
b,6,0,20,0,4
b,7,0,22,0,4
b,6,0,15,0,5
b,8,0,79,0,2
b,7,0,11,0,7
b,12,0,11,0,10
b,3,0,28,0,3
b,5,0,13,0,5
b,13,0,25,0,8
b,4,0,26,0,3
b,17,0,0,0,12
b,11,0,8,0,4
b,21,0,13,0,19
b,7,0,20,0,7
b,9,0,18,0,6
b,7,0,96,0,5
b,6,0,21,0,4
b,6,0,40,0,5
b,17,0,17,0,12
b,12,0,21,0,9
b,29,0,18,0,28
b,15,0,21,0,12
b,9,0,14,0,6
b,15,0,16,0,9
b,30,0,11,0,5
b,7,0,16,0,4
b,9,0,13,0,6
b,4,0,13,0,4
b,5,0,16,0,4
b,42,0,1,0,17
b,17,0,20,0,8
b,8,0,16,0,3
b,4,0,19,0,3
b,6,0,12,0,5
b,8,0,17,0,6
b,6,0,21,0,4
b,4,0,4,0,4
b,19,0,13,0,16
b,3,0,77,0,3
b,9,0,20,0,7
b,4,0,16,0,3
plain,3,0,18,1,3
b,10,0,19,0,2
plain,1,13,0,25,7
b,9,0,29,0,2
b,4,0,27,0,4
b,8,0,10,0,7
b,7,0,7,0,7
b,7,0,42,0,4
b,6,0,15,0,3
b,1,0,36,0,1
b,16,0,12,0,6
b,13,0,34,0,6
b,4,0,6,0,4
b,5,0,12,0,4
b,6,0,29,0,4
b,3,0,27,0,2
b,5,0,30,0,3
b,11,0,42,0,9
b,9,0,11,0,7
b,10,0,32,0,6
b,9,0,21,0,6
plain,0,9,0,5,3
b,7,0,49,0,5
b,25,0,20,0,5
b,5,0,24,0,4
b,4,0,12,0,4
plain,0,3,0,18,3
b,6,0,35,0,5
b,11,0,45,0,4
b,4,0,4,0,4
b,11,0,48,0,7
b,6,0,17,0,3
b,13,0,25,0,11
b,3,0,32,0,2
b,4,0,10,0,4
b,2,0,6,0,2
b,16,0,14,0,4
b,18,0,15,0,5
b,7,0,17,0,5
b,1,0,9,0,1
b,5,0,9,0,2
b,11,0,33,0,4
b,3,0,9,0,3
b,1,0,15,0,1
b,5,0,25,0,3
b,6,0,7,0,3
b,6,0,10,0,4
b,13,0,10,0,9
b,7,0,11,0,6
b,4,0,20,0,4
b,9,0,11,0,8
b,10,0,21,0,6
b,11,0,15,0,7
b,13,0,36,0,6
b,5,0,13,0,4
b,15,0,5,0,2
b,5,0,27,0,5
b,9,0,15,0,8
b,4,0,13,0,3
b,9,0,24,0,7
b,11,0,22,0,5
b,3,0,16,0,3
b,3,0,22,0,3
b,4,0,15,0,4
b,7,0,27,0,5
b,10,0,10,0,3
b,3,0,11,0,3
b,9,0,10,0,5
b,18,0,31,0,10
b,3,0,18,0,3
plain,5,4,31,0,6
b,5,0,21,0,5
b,16,0,34,0,10
b,2,0,3,0,2
b,10,0,16,0,7
b,11,0,39,0,4
b,5,0,36,0,5
plain,3,6,7,12,7
b,11,0,16,0,2
b,7,0,39,0,6
b,8,0,27,0,6
b,7,0,13,0,4
b,11,0,30,0,7
b,16,0,8,0,15
b,7,0,11,0,6
b,3,0,17,0,2
b,6,0,12,0,4
plain,0,18,0,0,12
b,11,0,10,0,7
b,11,0,17,0,8
b,10,0,17,0,5
b,7,0,35,0,4
b,6,0,5,0,5
b,8,0,16,0,7
b,2,0,0,0,1
